央视,#genre#
乐游,http://27.148.240.138/PLTV/88888888/224/3221226768/1.m3u8
上海纪实人文,http://27.148.240.138/PLTV/88888888/224/3221227307/1.m3u8
中国天气,http://27.148.240.138/PLTV/88888888/224/3221226861/1.m3u8
金鹰纪实,http://27.148.240.138/PLTV/88888888/224/3221226950/1.m3u8
欢笑剧场,http://27.148.240.138/PLTV/88888888/224/3221226761/1.m3u8
都市剧场,http://27.148.240.138/PLTV/88888888/224/3221226724/1.m3u8
法治天地,http://27.148.240.138/PLTV/88888888/224/3221226947/1.m3u8
东方财经,http://27.148.240.138/PLTV/88888888/224/3221227214/1.m3u8
金色学堂,http://27.148.240.138/PLTV/88888888/224/3221226923/1.m3u8
快乐垂钓,http://27.148.240.138/PLTV/88888888/224/3221226999/1.m3u8
生活时尚,http://27.148.240.138/PLTV/88888888/224/3221226740/1.m3u8
高网频道,http://27.148.240.138/PLTV/88888888/224/3221227132/1.m3u8
股评汇,http://27.148.240.138/PLTV/88888888/224/3221226835/1.m3u8
健身频道,http://27.148.240.138/PLTV/88888888/224/3221226845/1.m3u8
测试频道,http://27.148.240.138/PLTV/88888888/224/3221226974/1.m3u8
华数电影,http://27.148.240.138/PLTV/88888888/224/3221226758/1.m3u8
电视剧,http://27.148.240.138/PLTV/88888888/224/3221226772/1.m3u8
购物频道
家有购物,http://27.148.240.138/PLTV/88888888/224/3221226896/1.m3u8
快乐购,http://27.148.240.138/PLTV/88888888/224/3221227037/1.m3u8
央广购物,http://27.148.240.138/PLTV/88888888/224/3221226826/1.m3u8
央广购物,http://27.148.240.181/
央广购物,http://27.148.240.189/

日韩,#genre#
TBS,https://cdntv.tbs.seoul.kr/tbs/tbs_tv_web.smil/playlist.m3u8#https://cdntv.tbs.seoul.kr/tbs/_definst_/tbs_tv_web_720.smil/playlist.m3u8
MBC,http://123.254.72.24:1935/tvlive/livestream2/playlist.m3u8#http://vod.mpmbc.co.kr:1935/live/encoder-tv/playlist.m3u8
TJB,http://1.245.74.5:1935/live/tv/.m3u8
NBS,https://media.joycorp.co.kr:4443/live/live_720p/playlist.m3u8
阿里郎Korea,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
JobPlusTV,http://live.worktv.or.kr:1935/live/wowtvlive1.sdp/playlist.m3u8
KoreaTV,https://hlive.ktv.go.kr/live/klive_h.stream/playlist.m3u8
KBS World,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8
EBS1,https://ebsonairios.ebs.co.kr/groundwavefamilypc/familypc1m/playlist.m3u8
EBS2,https://ebsonairios.ebs.co.kr/ebs2familypc/familypc1m/playlist.m3u8
EBSe,https://ebsonairios.ebs.co.kr/plus3familypc/familypc1m/playlist.m3u8
GS My Shop,https://gstv-myshop.gsshop.com/myshop_hd/myshop_hd.stream/playlist.m3u8

国际,#genre#
CGTN,rtsp://220.200.30.136/PLTV/88888909/224/3221225734/10000100000000060000000000401649_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sxeZGUFJuQlR7lHDTLD4xUg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000148%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CGTN法语,rtsp://220.200.30.136/PLTV/88888909/224/3221225851/10000100000000060000000002734713_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sSqJMeYW%2FTNkes6Wlh%2FIffA%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000616%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CGTN俄语,rtsp://112.111.36.140/PLTV/88888909/224/3221225852/10000100000000060000000002734711_0.smil?rrsip=220.200.30.136&icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0sjdX7bLbJsGvXt88cLHFvPg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000618%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CGTN纪录,rtsp://220.200.30.136/PLTV/88888909/224/3221225850/10000100000000060000000002734715_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0snR9gx0y6%2FHgTPKKl8FmdBg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2C00000001000000050000000000000614%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CGTN西语,https://livees.cgtn.com/1000e/prog_index.m3u8
CGTN阿语,https://livear.cgtn.com/1000a/prog_index.m3u8
CHANNEL-V,https://blacknewschannel-vizio.amagi.tv/playlist.m3u8
RT News,https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
Taiwan+,https://bcovlive-a.akamaihd.net/rce33d845cb9e42dfa302c7ac345f7858/ap-northeast-1/6282251407001/playlist.m3u8
TRT World,https://tv-trtworld.live.trt.com.tr/master_1080.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
半岛英语,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
半岛阿语,https://live-hls-web-aja.getaj.net/AJA/02.m3u8
VOA365,https://voa-ingest.akamaized.net/hls/live/2033876/tvmc07/playlist.m3u8
Thai PBS 3,https://thaipbs-live.cdn.byteark.com/live/playlist_1080p/index.m3u8
FASHIONTV,https://lb.streaming.sk/fashiontv/stream/chunklist_w1906011378.m3u8
Abc News,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8
Fox News,https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
IGITV,https://hls-igi.cdnvideo.ru/igi/igi_hq/playlist.m3u8
RBC,http://92.50.128.180/utv/1358/index.m3u8
NASA 1,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
NASA 2,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8
红牛运动,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
M2音乐,https://live.m2.tv/hls3/stream.m3u8
HBTV,http://hoabinhtvlive.746b3ddb.cdnviet.com/hoabinhtv/playlist.m3u8
ANTV,http://antvlive.ab5c6921.cdnviet.com/antv/chunklist.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
长城精品,http://38.64.72.148:80/hls/modn/list/4008/chunklist1.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8

超清,#genre#
爱上4K,rtsp://220.200.30.136/PLTV/88888909/224/3221225965/10000100000000060000000003176328_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&GuardEncType=2&accountinfo=gHASKekTX02sMmAfc6PgtdmXQFPebvCxh3AUeKfxojQ8GMyZzohLsBH5cYKsByndiD39EirrpaVKs72m2p2men%2FLKGO7Atqy1tBcCq1FLhn3TtsqvME4esPsuwF6vq0svNGtmbyyNG3yvEEMi42FFg%3D%3D%3A20240215154628%2C059491052086%2C175.44.46.48%2C20240215154628%2CBESTV002000000050000000000863647%2C8A39180499B68AE30F59B32DDF19C35F%2C-1%2C1%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
FASHIONTV 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
